Question,Answer,Category,keywords,lastupdated
What did Flour Mills donate to Yabatech?,Flour Mills donated a Hiace bus to Yabatech in January 2020.,Donations,"did, flour, mills, donate, yabatech, donated, hiace, bus, january, 2020",2026-06-16
How much was the Ford Foundation grant won in August 2019?,"Yabatech won a $100,000 Ford Foundation Grant.",Grants,"much, was, ford, foundation, grant, won, august, 2019, yabatech, 100",2026-06-16
What did Canon donate to Yabatech?,Canon donated a Digital Imaging Machine to develop student careers in the printing industry.,Donations,"did, canon, donate, yabatech, donated, digital, imaging, machine, develop, student",2026-06-16
What is the name of the Yabatech water factory?,The Yabatech Water Factory was commissioned in April 2019.,Enterprise,"name, yabatech, water, factory, was, commissioned, april, 2019, enterprise",2026-06-16
What did the Mushin Rotary Club donate?,The Mushin Rotary Club donated books to Yabatech in March 2019.,Donations,"did, mushin, rotary, club, donate, donated, books, yabatech, march, 2019",2026-06-16
What did SFICO donate to Yabatech?,"As part of its Corporate Social Responsibility, SFICO donated a Digital Duplicator to Yabatech.",Donations,"did, sfico, donate, yabatech, part, its, corporate, social, responsibility, donated",2026-06-16
What is the status of the part-time programmes?,Yabatech offers Weekend Programmes and Weekday/Evening Programmes for part-time students.,Academics,"status, part, time, programmes, yabatech, offers, weekend, weekday, evening, students",2026-06-16
What academic units are in the college?,"Academic Units include Academic Planning, Applied Research & Technology Innovation, Centre for Entrepreneurship Development, Centre for Open, Distance and Flexible e-Learning, Centre for Research Support and Grant Management, College Central Research Laboratory, and Internal Quality Assurance.",Units,"academic, units, college, include, planning, applied, research, technology, innovation, centre",2026-06-16
What are the service units in the college?,"Service Units include the Anti-Corruption and Transparency Unit, Audit, Centre For Information Technology and Management (CITM), Medical Services, Physical Planning, SERVICOM, Skills Acquisition Centre, Student Industrial Work Experience Scheme (SIWES), Transport, and Works and Services.",Units,"service, units, college, include, anti, corruption, transparency, unit, audit, centre",2026-06-16
What is the process for confirming a statement of result for alumni?,Alumni can use the 'Confirm statement of result' portal available under the Alumni section of the website.,Alumni,"process, confirming, statement, result, alumni, use, confirm, portal, available, under",2026-06-16
Is there a portal for graduates?,"Yes, there is a 'Graduate Portal' for alumni.",Alumni,"there, portal, graduates, yes, graduate, alumni",2026-06-16
What social media channels does Yabatech use?,"Yabatech is active on social media, with links to its Facebook and Instagram pages on the website.",Contact,"social, media, channels, yabatech, use, active, links, its, facebook, instagram",2026-06-16
Are there opportunities for flexible skills development?,"Yes, the college offers 'Flexible Skills' programmes for students.",Academics,"there, opportunities, flexible, skills, development, yes, college, offers, programmes, students",2026-06-16
What is the role of the Alumni Relations office?,"The Alumni Relations office, under the Registry, manages engagement and communication with the college's alumni.",Alumni,"role, alumni, relations, office, under, registry, manages, engagement, communication, college",2026-06-16
What support does TETFund provide for academic journals?,TETFund supports Academic Research Journals at the college.,Research,"support, tetfund, provide, academic, journals, supports, research, college",2026-06-16
Does TETFund support conference attendance?,"Yes, TETFund provides support for Conferences Attendance for academic staff.",Staff,"tetfund, support, conference, attendance, yes, provides, conferences, academic, staff",2026-06-16
What is the National Research Grant?,The National Research Grant is a funding opportunity supported by TETFund for institutional research.,Research,"national, research, grant, funding, opportunity, supported, tetfund, institutional",2026-06-16
What is the purpose of the Skills Acquisition Centre?,The Skills Acquisition Centre is a service unit that provides vocational and practical skills training.,Units,"purpose, skills, acquisition, centre, service, unit, that, provides, vocational, practical",2026-06-16
What services are provided by the Centre For Information Technology and Management (CITM)?,"CITM is responsible for the college's ICT infrastructure, website, portals, and other technology-related services.",Units,"services, provided, centre, information, technology, management, citm, responsible, college, ict",2026-06-16
How does the college support student welfare?,The Registry has a Students Welfare department to address the needs and concerns of students.,Students,"college, support, student, welfare, registry, has, students, department, address, needs",2026-06-16
Is there an office for Pension Matters?,"Yes, the Registry has an office dedicated to Pension Matters for staff.",Staff,"there, office, pension, matters, yes, registry, has, dedicated, staff",2026-06-16
What is Yabatech Consult Limited?,"It is the enterprise arm of the college, offering consultancy, skill acquisition, and other commercial services.",Enterprise,"yabatech, consult, limited, enterprise, arm, college, offering, consultancy, skill, acquisition",2026-06-16
What is the College Anthem?,The College Anthem is part of the 'About' section on the website.,General,"college, anthem, part, about, section, website, general",2026-06-16
Who is the Visitor of the College?,The Visitor of the College is listed under the 'Administration' section.,Administration,"visitor, college, listed, under, administration, section",2026-06-16
How can I apply to Yabatech?,Prospective students can find application links and information under the 'Admissions' and 'Apply' sections of the website.,Admissions,"apply, yabatech, prospective, students, find, application, links, information, under, admissions",2026-06-16
Where can I find information on entry requirements?,Entry requirements for various programmes are listed under the 'Admissions' section.,Admissions,"find, information, entry, requirements, various, programmes, listed, under, admissions, section",2026-06-16
What is the process for paying the acceptance fee?,Information on paying the Acceptance Fee is available under the 'Admissions' section after an offer has been made.,Admissions,"process, paying, acceptance, fee, information, available, under, admissions, section, after",2026-06-16
Are there any downloads available for students?,"Yes, there is a 'Downloads' section for students, which may include handbooks, calendars, and other documents.",Students,"there, any, downloads, available, students, yes, section, which, may, include",2026-06-16
Does the college have sports facilities and societies?,"Yes, information about 'Sports & Societies' is available for students.",Students,"college, have, sports, facilities, societies, yes, information, about, available, students",2026-06-16
Is there a dedicated email for students?,"Yes, students are provided with official college email addresses.",Students,"there, dedicated, email, students, yes, provided, official, college, addresses",2026-06-16
What is the Centre for Continuous Studies (CCS)?,"The CCS is an academic unit, likely managing part-time and special programmes.",Academics,"centre, continuous, studies, ccs, academic, unit, likely, managing, part, time",2026-06-16
Is there a list of staff available on the website?,"Yes, a 'Staff List' is available under the 'Staff' section.",Staff,"there, list, staff, available, website, yes, under, section",2026-06-16
Can I check my Post UTME graded result online?,"Yes, there is a link to check your POSTUTME graded result on the post-utme application page.",Admissions,"check, post, utme, graded, result, online, yes, there, link, postutme",2026-06-16
Where can I print my O'Level verification slip?,You can print your O’Level verification slip from the post-utme application page.,Admissions,"print, level, verification, slip, post, utme, application, page, admissions",2026-06-16
What are the core values of Yabatech?,"Core values include Discipline, Loyalty, Honesty, Integrity, Courage, and recognition of the pivotal place of students, among others.",About,"core, values, yabatech, include, discipline, loyalty, honesty, integrity, courage, recognition",2026-06-16
How many editions of the Nigeria Polytechnic Games Association (NIPGA) has the College won?,The College has won the NIPGA competitions five times out of its sixteen editions.,Sports,"many, editions, nigeria, polytechnic, games, association, nipga, has, college, won",2026-06-16
What new courses were approved by the NBTE in April 2015?,"The NBTE approved HND in Mass Communication, Banking and Finance, Metallurgy Engineering, and ND in Welding & Fabrication and Public Administration.",Academics,"new, courses, were, approved, nbte, april, 2015, hnd, mass, communication",2026-06-16
Does Yabatech have a TV station?,The National Broadcasting Commission (NBC) has granted the College a license to establish and operate a Television station (DBS).,General,"yabatech, have, station, national, broadcasting, commission, nbc, has, granted, college",2026-06-16
What is the staff strength of Yabatech?,"The staff strength is 2,063.",General,"staff, strength, yabatech, 063, general",2026-06-16
What was the Yabatech video documentary titled?,The video documentary was titled 'YABATECH THE FIRST AND STILL THE BEST'.,General,"was, yabatech, video, documentary, titled, first, still, best, general",2026-06-16
What is the theme of the MEMAN Youth Energy & Career Engagement program?,The theme was 'Empowering the Future'.,Events,"theme, meman, youth, energy, career, engagement, program, was, empowering, future",2026-06-16
What is the status of the HND1 Part Time candidates' screening for 2025/2026?,The screening and registration exercise for newly admitted HND1 Part Time candidates for 2025/2026 has been scheduled.,Admissions,"status, hnd1, part, time, candidates, screening, 2025, 2026, registration, exercise",2026-06-16
What did the Yabatech Rector say about justifying the name change to a university?,The Rector gave 20 justifications for renaming it to Yaba Technical and Vocational University to maintain the acronym.,News,"did, yabatech, rector, say, about, justifying, name, change, university, gave",2026-06-16
What is the purpose of the Centre for Peace and Conflict Resolution?,The Yabatech Council created the Centre for Peace and Conflict Resolution.,Units,"purpose, centre, peace, conflict, resolution, yabatech, council, created, units",2026-06-16
"What did the ICPC do at Yabatech on July 11, 2025?",The ICPC inaugurated the Yabatech Anti-Corruption Unit.,Units,"did, icpc, yabatech, july, 2025, inaugurated, anti, corruption, unit, units",2026-06-16
"Who won the Accountancy Quiz Competition mentioned on May 30, 2025?",Yabatech HND students won the competition.,Students,"won, accountancy, quiz, competition, mentioned, may, 2025, yabatech, hnd, students",2026-06-16
What is the Folawiyo Entrepreneurship Centre's maiden competition?,It was a Business Idea Competition.,Events,"folawiyo, entrepreneurship, centre, maiden, competition, was, business, idea, events",2026-06-16
What was the Rector's charge to staff on his third year in office anniversary?,He charged staff to demonstrate a high level of professionalism.,Staff,"was, rector, charge, staff, his, third, year, office, anniversary, charged",2026-06-16
What is Yabatech's position on AI for national development?,A Yabatech Don urged Nigeria to embrace AI for national development and warned of a growing global gap.,News,"yabatech, position, national, development, don, urged, nigeria, embrace, warned, growing",2026-06-16
What is the partnership with the University of Kwazulu-Natal for?,The partnership is for signing a pact on Postgraduate (PG) programs.,Partnerships,"partnership, university, kwazulu, natal, signing, pact, postgraduate, programs, partnerships",2026-06-16
How much ICT equipment did Interswitch donate to Yabatech?,Interswitch donated N45 million worth of ICT equipment.,Donations,"much, ict, equipment, did, interswitch, donate, yabatech, donated, n45, million",2026-06-16
What was the topic of the 17th Inaugural Lecture?,The lecture was about the 'Capacitance of Artificial Intelligence'.,Events,"was, topic, 17th, inaugural, lecture, about, capacitance, artificial, intelligence, events",2026-06-16
What is the student capacity of Yabatech?,"The college matriculated 12,000 students in one session, and the total student population is around 15,000.",Students,"student, capacity, yabatech, college, matriculated, 000, students, one, session, total",2026-06-16
What is the college's view on practical skills in Nigeria?,"A news headline from July 11, 2025, notes that an ACE Broadcaster stated that 'Practical Skills are Undervalued in Nigeria'.",News,"college, view, practical, skills, nigeria, news, headline, july, 2025, notes",2026-06-16
What support did the French Embassy provide?,The French Embassy lauded Yabatech's research on the Plastogas Hub.,Research,"support, did, french, embassy, provide, lauded, yabatech, research, plastogas, hub",2026-06-16
What is the relationship with ICAN?,ICAN rated Yabatech as a major producer of Chartered Accountants and gave the college a Corporate Merit Award.,Partnerships,"relationship, ican, rated, yabatech, major, producer, chartered, accountants, gave, college",2026-06-16
What did President Tinubu's approval mean for Yabatech?,"President Tinubu's approval on Feb 15, 2025, was for the conversion of Yabatech to a university.",General,"did, president, tinubu, approval, mean, yabatech, feb, 2025, was, conversion",2026-06-16
Who was honored at the 36th convocation?,"The First Lady, Remi Tinubu, and Speaker Abass were honored at the 36th convocation.",Events,"was, honored, 36th, convocation, first, lady, remi, tinubu, speaker, abass",2026-06-16
What is the role of the Yabatech Endowment Foundation?,The foundation launched a N50 Billion Endowment Fund to improve college infrastructure and resources.,General,"role, yabatech, endowment, foundation, launched, n50, billion, fund, improve, college",2026-06-16
How many trainees graduated from the Skills Acquisition Centre in Dec 2023?,38 trainees graduated from the Skills Acquisition Centre.,Students,"many, trainees, graduated, skills, acquisition, centre, dec, 2023, students",2026-06-16
What is the Hult Prize competition?,"It's a global competition for student entrepreneurs, where Yabatech reached the regional finals.",Events,"hult, prize, competition, global, student, entrepreneurs, yabatech, reached, regional, finals",2026-06-16
What did C.K. George donate to Yabatech?,C.K. George donated books to the college.,Donations,"did, george, donate, yabatech, donated, books, college, donations",2026-06-16
What did Bluetti offer to Yabatech students?,Bluetti was set to give out 100 units of its Solar Home Systems to Yabatech students.,Donations,"did, bluetti, offer, yabatech, students, was, set, give, out, 100",2026-06-16
What is the relationship with the Commonwealth of Learning?,Officials from the Commonwealth of Learning visited Yabatech in April 2023.,Partnerships,"relationship, commonwealth, learning, officials, visited, yabatech, april, 2023, partnerships",2026-06-16
How many graduates were at the 34th convocation?,"7,554 students were set to graduate at the 34th convocation.",Events,"many, graduates, were, 34th, convocation, 554, students, set, graduate, events",2026-06-16
How many students did Yabatech admit in August 2022?,"Yabatech admitted 13,741 students.",Admissions,"many, students, did, yabatech, admit, august, 2022, admitted, 741, admissions",2026-06-16
What is the role of the 'Yabatech PR Bulletin'?,It's a publication that likely shares news and updates about the college.,General,"role, yabatech, bulletin, publication, that, likely, shares, news, updates, about",2026-06-16
How much was the research grant won by two lecturers in Jan 2022?,Two Yabatech lecturers won a 4.5 Million Naira LASRIC Research and Innovation Grant.,Research,"much, was, research, grant, won, two, lecturers, jan, 2022, yabatech",2026-06-16
What is the relationship with the Tony Elumelu Foundation?,"A masterclass for the Tony Elumelu Foundation 2022, $5,000 grant writing was organized.",Events,"relationship, tony, elumelu, foundation, masterclass, 2022, 000, grant, writing, was",2026-06-16
What is the purpose of the Yabatech Museum?,The Yabatech Museum conveys the history and art of the art school and college.,General,"purpose, yabatech, museum, conveys, history, art, school, college, general",2026-06-16
What is the college's policy on sexual harassment?,The college has a 'Sexual Harassment and other forms of Gender-Based Violence Prohibition Policy'.,General,"college, policy, sexual, harassment, has, other, forms, gender, based, violence",2026-06-16
What is the 'Yabatech News App'?,It's a mobile application available on the Playstore to stay updated with college news.,General,"yabatech, news, app, mobile, application, available, playstore, stay, updated, college",2026-06-16
What is the status of the 'Yabatech Water Factory'?,The Yabatech Water Factory was commissioned and is operational.,Enterprise,"status, yabatech, water, factory, was, commissioned, operational, enterprise",2026-06-16
What is the 'Yabatech Bakery'?,"The Yabatech Bakery, commissioned in Feb 2020, is an enterprise of the college.",Enterprise,"yabatech, bakery, commissioned, feb, 2020, enterprise, college",2026-06-16
What is the relationship with the Nigerian Society of Engineers (NSE)?,"The NSE Ikeja Branch donated a N250,000 endowment fund to Yabatech.",Donations,"relationship, nigerian, society, engineers, nse, ikeja, branch, donated, n250, 000",2026-06-16
What is the 'Yabatech Radio' frequency?,The radio station operates on 89.3FM.,General,"yabatech, radio, frequency, station, operates, 3fm, general",2026-06-16
What is the purpose of the 'Digital Library'?,"The Digital Library, commissioned in Jan 2020, provides students and staff with digital academic resources.",Library,"purpose, digital, library, commissioned, jan, 2020, provides, students, staff, academic",2026-06-16
What is the Hult Prize at Yabatech about?,"It is a campus-level competition for the global Hult Prize, which Yabatech students participate in.",Students,"hult, prize, yabatech, about, campus, level, competition, global, which, students",2026-06-16
What is the role of the 'Works and Services' unit?,This service unit is responsible for the maintenance of college infrastructure and facilities.,Units,"role, works, services, unit, this, service, responsible, maintenance, college, infrastructure",2026-06-16
What is the 'Physical Planning' unit responsible for?,This service unit is responsible for the planning and development of the college's physical infrastructure.,Units,"physical, planning, unit, responsible, this, service, development, college, infrastructure, units",2026-06-16
What is the role of the 'Transport' unit?,This service unit manages the college's transportation services.,Units,"role, transport, unit, this, service, manages, college, transportation, services, units",2026-06-16
What does the 'Academic Records' department do?,"This department, under the Registry, is responsible for maintaining students' academic records.",Students,"academic, records, department, this, under, registry, responsible, maintaining, students",2026-06-16
What is the role of the 'Examination Matters' department?,"This department, under the Registry, handles all aspects of student examinations.",Academics,"role, examination, matters, department, this, under, registry, handles, all, aspects",2026-06-16
What is the 'General Administration & Legal Matters' department?,"This department, under the Registry, handles administrative and legal issues for the college.",Administration,"general, administration, legal, matters, department, this, under, registry, handles, administrative",2026-06-16
What is the purpose of the 'Staff Development & Training' department?,"This department, under the Registry, is responsible for the professional development and training of college staff.",Staff,"purpose, staff, development, training, department, this, under, registry, responsible, professional",2026-06-16
What does the 'Students Account' department in the Bursary do?,"It manages all financial accounts and transactions related to students, such as school fees.",Students,"students, account, department, bursary, manages, all, financial, accounts, transactions, related",2026-06-16
What is the function of the 'Treasury' department in the Bursary?,The Treasury department manages the college's funds and financial assets.,Administration,"function, treasury, department, bursary, manages, college, funds, financial, assets, administration",2026-06-16
What products are offered by Yabatech's enterprise units?,"Products include consultancy services, skill acquisition programs, and items from the bakery and water factory.",Enterprise,"products, offered, yabatech, enterprise, units, include, consultancy, services, skill, acquisition",2026-06-16
How can staff access their email?,Staff can access their email through the 'Staff Email' link in the Staff section of the website.,Staff,"staff, access, their, email, through, link, section, website",2026-06-16
Is there a provision for staff accommodation?,"Yes, there is information on 'Staff Accommodation' in the Staff section.",Staff,"there, provision, staff, accommodation, yes, information, section",2026-06-16
Where can I find 'Key Institutional Data'?,'Key Institutional Data' is available under the 'Financials & Institutional Data' section.,General,"find, key, institutional, data, available, under, financials, section, general",2026-06-16
What is the purpose of the 'Knowledge Base' link?,The 'Knowledge Base' likely serves as a repository of information and FAQs about the college.,General,"purpose, knowledge, base, link, likely, serves, repository, information, faqs, about",2026-06-16
Are there career opportunities at Yabatech?,"Yes, there is a 'Careers' section on the website, and vacancies are announced in the news.",Careers,"there, career, opportunities, yabatech, yes, careers, section, website, vacancies, announced",2026-06-16
What is the 'ND/BSC PT POST APPLICATION PORTAL'?,It is the application portal for National Diploma and B.Sc Part-Time programmes.,Admissions,"bsc, post, application, portal, national, diploma, part, time, programmes, admissions",2026-06-16
What is the 'CODFEL Application' link for?,"It is the application portal for the Centre for Open, Distance and Flexible e-Learning programmes.",Admissions,"codfel, application, link, portal, centre, open, distance, flexible, learning, programmes",2026-06-16
What is the 'Post UTME CBT Schedule'?,This link provides the schedule for the Computer-Based Test for Post UTME applicants.,Admissions,"post, utme, cbt, schedule, this, link, provides, computer, based, test",2026-06-16
Where can I find the 'Applicants Portal'?,The 'Applicants Portal' is available under the 'Admissions' section for prospective students.,Admissions,"find, applicants, portal, available, under, admissions, section, prospective, students",2026-06-16
What is TETFUND's role in 'Library Development'?,TETFund supports the development and stocking of the college library.,Library,"tetfund, role, library, development, supports, stocking, college",2026-06-16
What is 'Book Development' under TETFund?,It refers to TETFund's support for the writing and publication of academic books by staff.,Staff,"book, development, under, tetfund, refers, support, writing, publication, academic, books",2026-06-16
What is 'Academic Manuscript Development' under TETFund?,It is a TETFund initiative to support the development of academic manuscripts for publication.,Research,"academic, manuscript, development, under, tetfund, initiative, support, manuscripts, publication, research",2026-06-16
What is 'Zonal Intervention' by TETFund?,It refers to specific projects and support allocated by TETFund to institutions within a particular geopolitical zone.,General,"zonal, intervention, tetfund, refers, specific, projects, support, allocated, institutions, within",2026-06-16
What is 'Project Maintenance' under TETFund?,This refers to TETFund support for the maintenance of previously funded projects.,General,"project, maintenance, under, tetfund, this, refers, support, previously, funded, projects",2026-06-16
What is 'Curriculum and Programme Content Development' by TETFund?,This is TETFund's support for the review and development of academic curricula.,Academics,"curriculum, programme, content, development, tetfund, this, support, review, academic, curricula",2026-06-16
What is 'Special Intervention' from TETFund?,"This refers to special funding provided by TETFund for specific, often urgent, institutional needs.",General,"special, intervention, tetfund, this, refers, funding, provided, specific, often, urgent",2026-06-16
What is 'Physical Infrastructure' support from TETFund?,TETFund provides funding for the construction and renovation of buildings and other physical infrastructure.,General,"physical, infrastructure, support, tetfund, provides, funding, construction, renovation, buildings, other",2026-06-16
What is 'ICT Support' from TETFund?,TETFund provides support for the procurement and maintenance of Information and Communication Technology facilities.,General,"ict, support, tetfund, provides, procurement, maintenance, information, communication, technology, facilities",2026-06-16
What is 'Teaching Practice' support from TETFund?,TETFund provides funding to support the teaching practice exercises for students in education programmes.,Students,"teaching, practice, support, tetfund, provides, funding, exercises, students, education, programmes",2026-06-16
What is 'Equipment Fabrication' support from TETFund?,TETFund supports the local fabrication of academic and research equipment.,Academics,"equipment, fabrication, support, tetfund, supports, local, academic, research, academics",2026-06-16
What is the 'Student Email' link for?,It's for students to access their official college email accounts.,Students,"student, email, link, students, access, their, official, college, accounts",2026-06-16
What is the 'YCTBUS' link about?,This likely refers to a campus shuttle or transport service.,General,"yctbus, link, about, this, likely, refers, campus, shuttle, transport, service",2026-06-16
What is the purpose of the 'Anti-Corruption and Transparency Unit'?,It is a service unit established to promote ethical practices and combat corruption within the college.,Units,"purpose, anti, corruption, transparency, unit, service, established, promote, ethical, practices",2026-06-16
What is the 'Audit' unit?,The Audit unit is a service unit responsible for internal financial and process auditing.,Units,"audit, unit, service, responsible, internal, financial, process, auditing, units",2026-06-16
What is the 'College Central Research Laboratory'?,It is an academic unit that serves as a central hub for scientific research and analysis.,Research,"college, central, research, laboratory, academic, unit, that, serves, hub, scientific",2026-06-16
What does the 'Council Affairs' department do?,This department under the Registry manages the activities and meetings of the Governing Council.,Administration,"council, affairs, department, this, under, registry, manages, activities, meetings, governing",2026-06-16
What is the 'Office of the Registrar'?,"It is the central administrative office of the college, headed by the Registrar.",Administration,"office, registrar, central, administrative, college, headed, administration",2026-06-16
What does the 'Fixed Assets' department in the Bursary manage?,It is responsible for tracking and managing all the physical assets of the college.,Administration,"fixed, assets, department, bursary, manage, responsible, tracking, managing, all, physical",2026-06-16
Where can I find information about payment?,There is a 'Payment' link under the Bursary section for financial transactions.,Students,"find, information, about, payment, there, link, under, bursary, section, financial",2026-06-16
What is the 'Art gallery' link in the footer?,"It likely leads to a virtual or physical gallery showcasing art from the School of Art, Design & Printing.",General,"art, gallery, link, footer, likely, leads, virtual, physical, showcasing, school",2026-06-16
Is there a newsletter?,"Yes, there is a link to the college 'Newsletter' in the footer.",General,"there, newsletter, yes, link, college, footer, general",2026-06-16
What is the Post UTME application status for 2024/25?,The application form is now closed.,Admissions,"post, utme, application, status, 2024, form, now, closed, admissions",2026-06-16
What is the motto from the history page?,'...first and is still the best'.,About,"motto, history, page, first, still, best, about",2026-06-16
"What was Yaba Higher College's role in the formation of the University College, Ibadan?","The students of Yaba Higher College were moved to form the nucleus of the University College, Ibadan in 1948.",History,"was, yaba, higher, college, role, formation, university, ibadan, students, were",2026-06-16
What was the significance of the Yaba College of Technology Decree 1969?,It granted the College autonomy and the mandate to provide full-time and part-time courses in various fields.,History,"was, significance, yaba, college, technology, decree, 1969, granted, autonomy, mandate",2026-06-16
Until what year was Yabatech the only college offering Higher Diploma courses in Nigeria?,Yabatech was the only college offering Higher Diploma courses in Nigeria until 1979.,History,"until, year, was, yabatech, only, college, offering, higher, diploma, courses",2026-06-16
What is the significance of the Michael Otedola Information and Communication Centre?,It is a major facility located at the Epe campus.,General,"significance, michael, otedola, information, communication, centre, major, facility, located, epe",2026-06-16
What security certification program did Yabatech partner to create in 2019?,Yabatech partnered with a leading Nigerian security solutions company to design and implement a Security Management Certification Programme.,Academics,"security, certification, program, did, yabatech, partner, create, 2019, partnered, leading",2026-06-16
Has Yabatech partnered with international institutions?,"Yes, the college has established linkages with several institutions across Europe and Asia, with student and staff exchange programmes.",Partnerships,"has, yabatech, partnered, international, institutions, yes, college, established, linkages, several",2026-06-16
What is the college's student population range?,"The student population is in the range of 15,000.",Students,"college, student, population, range, 000, students",2026-06-16
What did the Minister of Education task new Yabatech graduates with in April 2023?,The Minister tasked new graduates on a knowledge-driven economy.,Events,"did, minister, education, task, new, yabatech, graduates, april, 2023, tasked",2026-06-16
Who offered a job to Yabatech's overall best student in April 2023?,The Managing Director of Lotus Bank made a job offer to the overall best student.,Students,"offered, job, yabatech, overall, best, student, april, 2023, managing, director",2026-06-16
How many students did the Skills Acquisition Centre graduate in April 2023?,The Skills Acquisition Centre graduated 30 students.,Students,"many, students, did, skills, acquisition, centre, graduate, april, 2023, graduated",2026-06-16
What new building was named after George Majekodunmi Okufi?,The new School of Management and Business Studies (SMBS) building was named after him.,General,"new, building, was, named, after, george, majekodunmi, okufi, school, management",2026-06-16
What was the status of the Post-UTME online screening for the 2022/2023 session?,"An update on the Post-UTME screening was provided on December 8, 2022.",Admissions,"was, status, post, utme, online, screening, 2022, 2023, session, update",2026-06-16
What was the Yabatech N50bn Endowment Fund launch about?,"It was a historic event, chaired by Obasanjo, to raise N50 billion for the college's development.",Events,"was, yabatech, n50bn, endowment, fund, launch, about, historic, event, chaired",2026-06-16
What was the update on Post UTME for the 2021/2022 session?,"The Post UTME online test was scheduled to start on Monday, February 28, 2022.",Admissions,"was, update, post, utme, 2021, 2022, session, online, test, scheduled",2026-06-16
What was the first edition of the Research and Development public lecture about?,The lecture was delivered by Engr. Nnamdi Ezeigbo in April 2019.,Events,"was, first, edition, research, development, public, lecture, about, delivered, engr",2026-06-16
What did the Rector say about student welfarism in his first year?,The Rector promised improved service delivery and prioritized staff and student welfare.,Administration,"did, rector, say, about, student, welfarism, his, first, year, promised",2026-06-16
What did Alakija donate to Yabatech in Oct 2018?,Folorunso Alakija donated a Skills Acquisition Centre to Yabatech.,Donations,"did, alakija, donate, yabatech, oct, 2018, folorunso, donated, skills, acquisition",2026-06-16
What is the Yabatech Multidisciplinary Journal (YAMUJO)?,"It is an academic journal of the college, and there was a call for papers in June 2018.",Research,"yabatech, multidisciplinary, journal, yamujo, academic, college, there, was, call, papers",2026-06-16
What is the SMART iSTREAMS Conference?,It is an academic conference hosted by the college.,Events,"smart, istreams, conference, academic, hosted, college, events",2026-06-16
Who is the Chairman of the Governing Council?,The website lists a Chairman of the Council under the administration section.,Administration,"chairman, governing, council, website, lists, under, administration, section",2026-06-16
What does the 'Alumni Relations' unit do?,It fosters a lifelong relationship between the college and its graduates.,Alumni,"alumni, relations, unit, fosters, lifelong, relationship, between, college, its, graduates",2026-06-16
What does the 'e-Journal' link provide?,It provides access to the electronic academic journals of the college.,Academics,"journal, link, provide, provides, access, electronic, academic, journals, college, academics",2026-06-16
What is the 'CODFEL Registration' link for?,"It is for students of the Centre for Open, Distance and Flexible e-Learning to register for their courses.",Students,"codfel, registration, link, students, centre, open, distance, flexible, learning, register",2026-06-16
What is the role of the 'Academic Board Matters' unit?,"This unit under the Registry manages the affairs of the Academic Board, the highest academic decision-making body.",Academics,"role, academic, board, matters, unit, this, under, registry, manages, affairs",2026-06-16
What is the 'Senior Non-Teaching Personnel' unit?,This unit under the Registry manages the affairs of senior administrative and technical staff.,Staff,"senior, non, teaching, personnel, unit, this, under, registry, manages, affairs",2026-06-16
What is the 'Students Record' unit?,This unit under the Registry is responsible for maintaining and managing student records.,Students,"students, record, unit, this, under, registry, responsible, maintaining, managing, student",2026-06-16
What does the 'Cashbook & Reconciliation' department do?,This department in the Bursary is responsible for managing cash transactions and reconciling bank statements.,Administration,"cashbook, reconciliation, department, this, bursary, responsible, managing, cash, transactions, reconciling",2026-06-16
What does 'Yabatech Consult Limited' offer under 'Facility management'?,It offers professional management services for physical facilities.,Enterprise,"yabatech, consult, limited, offer, under, facility, management, offers, professional, services",2026-06-16
Where can I find the 'Staff Aper Forms'?,These performance evaluation forms are available on the Staff Portal.,Staff,"find, staff, aper, forms, these, performance, evaluation, available, portal",2026-06-16
What is the 'Global Locations' link under 'Contact' for?,It might provide information on partner institutions or college locations.,Contact,"global, locations, link, under, contact, might, provide, information, partner, institutions",2026-06-16
What does 'Buildings in College' show?,It likely provides a map or list of buildings on campus.,General,"buildings, college, show, likely, provides, map, list, campus, general",2026-06-16
What is the 'FUOYE-YABATECH TOP UP' program?,It's an external degree application for an HND conversion program with Federal University Oye-Ekiti.,Academics,"fuoye, yabatech, top, program, external, degree, application, hnd, conversion, federal",2026-06-16
What was the 'Agroween 2024' event?,"It was an event announced on the news page for November 27, 2024.",Events,"was, agroween, 2024, event, announced, news, page, november, events",2026-06-16
What was the purpose of the 'Young Staff Mentoring Forum'?,It was a forum launched to provide mentorship for young staff members.,Staff,"was, purpose, young, staff, mentoring, forum, launched, provide, mentorship, members",2026-06-16
What was the 'School Of Management And Business Studies 2nd International Conference 2024'?,It was an international conference hosted by the SMBS in November 2024.,Events,"was, school, management, business, studies, 2nd, international, conference, 2024, hosted",2026-06-16
What was the 'School Of Engineering 4th International Conference'?,It was an international conference hosted by the School of Engineering in October 2024.,Events,"was, school, engineering, 4th, international, conference, hosted, october, 2024, events",2026-06-16
What was the 'School Of Science 7th International Conference And Exhibitions'?,It was an international conference and exhibition hosted by the School of Science in September 2024.,Events,"was, school, science, 7th, international, conference, exhibitions, exhibition, hosted, september",2026-06-16
What was the 'CareerLeap Series 1' event about?,It was an Industry and Academia Engagement Session in April 2025.,Events,"was, careerleap, series, event, about, industry, academia, engagement, session, april",2026-06-16
